Motion,SSIM,Brightness
0.0004,0.8504,37.11
0.0005,0.8504,37.63
0.0006,0.7535,38.08
0.0007,0.7535,38.66
0.0,0.7535,38.93
0.3586,0.7535,169.68
0.4296,0.7535,153.56
0.4486,0.7535,218.81
0.2346,0.9026,40.09
0.0004,0.9026,43.37
0.1368,0.9026,198.38
0.3944,0.9026,161.73
0.4702,0.9026,42.74
0.0068,0.9026,61.69
0.0,0.3268,225.8
0.3015,0.3268,165.05
0.4827,0.3268,149.23
0.4218,0.3268,128.19
0.4127,0.3268,36.58
0.0053,0.3268,35.75
0.2363,0.7998,179.62
0.4535,0.7998,148.9
0.5568,0.7998,190.46
0.3139,0.7998,204.69
0.359,0.7998,148.98
0.5164,0.7998,120.11
0.5045,0.6879,155.47
0.4024,0.6879,155.5
0.4853,0.6879,123.25
0.5324,0.6879,175.07
0.5692,0.6879,130.63
0.5612,0.6879,172.85
0.4372,0.6935,152.32
0.4761,0.6935,133.69
0.5422,0.6935,137.38
0.5645,0.6935,137.21
0.0,1.0,78.99
0.0603,1.0,79.35
0.0612,1.0,79.47
0.0534,1.0,79.46
0.0439,1.0,79.5
0.0,1.0,81.66
0.0542,1.0,82.07
0.0323,0.9761,81.99
0.0438,0.9737,81.98
0.0337,0.9757,82.07
0.0246,1.0,82.0
0.0221,0.9772,81.99
0.0245,0.9763,81.96
0.0615,0.9645,81.87
0.0338,0.9606,81.85
0.0626,0.9605,82.0
0.0119,1.0,82.02
0.0129,0.9782,82.04
0.0145,0.9774,82.05
0.0352,0.9762,82.08
0.0138,0.978,82.08
0.0124,0.978,82.07
0.019,1.0,82.07
0.0119,0.9784,82.05
0.0138,0.9785,82.07
0.0135,0.9787,82.1
0.0192,0.9768,82.03
0.0159,0.9779,82.03
0.0336,1.0,82.29
0.0691,0.9392,82.57
0.0622,0.9334,82.29
0.0701,0.9521,82.44
0.0472,0.9499,82.62
0.0574,0.9494,82.51
0.0441,1.0,82.24
0.0591,0.9631,82.14
0.0916,0.878,78.32
0.2587,0.559,37.53
0.283,0.7822,70.0
0.223,0.6599,56.79
0.2419,0.5923,42.01
0.2916,0.5618,68.92
0.2876,0.7694,33.7
0.3002,0.5517,69.53
0.2452,0.606,56.44
0.225,0.7871,35.43
0.2775,0.5457,70.3
0.266,0.507,38.45
0.2469,0.7971,60.29
0.2216,0.8696,72.38
0.3058,0.4297,33.6
0.2562,0.817,63.8
0.2198,0.8635,73.12
0.2915,0.4803,36.66
0.2778,0.7592,60.88
0.2191,0.809,65.96
0.2893,0.5284,39.71
0.2981,0.8386,69.47
0.2586,0.6616,52.7
0.2385,0.7916,44.61
0.2775,0.6382,78.81
0.122,0.6272,81.52
0.0764,0.6286,81.76
0.046,0.6276,81.68
0.0806,0.6278,81.47
0.0568,0.9697,81.6
0.0707,0.9598,81.84
0.0725,0.9602,81.86
0.042,0.9628,81.82
0.0514,0.9713,81.88
0.0416,1.0,81.9
0.0708,0.9605,82.12
0.0674,0.9538,81.49
0.0456,0.9579,81.77
0.0738,0.9646,81.96
0.0563,0.9568,82.03
0.0696,0.9666,81.87
0.0491,0.9648,81.51
0.0719,0.9562,81.64
0.0933,0.9432,82.07
0.0588,0.9477,82.11
0.0499,0.9505,82.12
0.0785,0.9267,81.51
0.2519,0.5732,35.82
0.1864,0.4489,22.23
0.1068,0.4238,17.97
0.0683,0.4256,18.35
0.0724,0.4334,19.48
0.0872,0.4368,19.86
0.099,0.915,20.37
0.1005,0.8874,20.57
0.0919,0.8591,20.17
0.0996,0.8348,20.45
0.0839,0.8429,20.6
0.1035,0.8418,20.84
0.1088,0.8368,21.8
0.1158,0.8554,21.49
0.1214,0.8579,21.05
0.1105,0.8589,20.98
0.1025,0.8197,20.09
0.1288,0.7026,18.54
0.2341,0.6465,44.68
0.293,0.5568,62.13
0.1884,0.5744,59.71
0.1464,0.5782,59.11
0.118,0.5785,58.94
0.0845,0.5787,58.77
0.1564,0.9451,58.99
0.1621,0.9008,59.56
0.1358,0.8773,59.92
0.1616,0.8714,60.0
0.195,0.4108,5.65
0.0,0.4274,6.09
0.0,0.9887,5.67
0.0,0.9903,5.81
0.0,0.9905,5.97
0.0,0.991,6.21
0.0,0.9926,6.31
0.0,1.0,6.36
0.0,0.9872,5.77
0.0,0.9891,6.2
0.0,0.9672,4.91
0.0,0.9494,6.71
0.0,0.9481,6.74
0.0,0.9481,6.74
0.0,0.9937,6.85
0.0,0.9937,6.75
0.0,0.9579,8.75
0.0662,0.7887,23.22
0.1004,0.7916,22.6
0.1444,0.821,19.38
0.1096,0.9339,19.82
0.1409,0.899,15.83
0.1181,0.9043,17.87
0.1922,0.5103,71.39
0.0718,0.3774,81.76
0.038,0.3783,81.98
0.0321,0.9636,81.56
0.0281,0.9721,81.55
0.0309,0.9742,81.67
0.0148,0.9787,81.66
0.0327,0.9731,81.58
0.0442,1.0,81.36
0.0478,0.9632,80.98
0.0384,0.9651,80.94
0.048,0.9272,78.59
0.1559,0.4799,27.54
0.0957,0.2926,8.13
0.0692,0.2988,8.65
0.0888,0.9565,8.59
0.1562,0.3641,76.56
0.0301,0.2557,85.0
0.0072,0.2657,84.3
0.0157,0.2671,84.19
0.0123,0.267,84.19
0.012,0.9782,84.29
0.009,0.9695,83.46
0.0152,0.968,82.5
0.0164,0.9649,82.9
0.0129,0.9667,83.51
0.1695,0.9041,84.57
0.1664,0.7587,99.13
0.0861,0.7486,95.46
0.0575,0.7488,97.98
0.0213,0.7507,98.92
0.0138,0.7504,98.82
0.0073,0.7502,98.8
0.0144,0.9763,98.8
